province,sector,PIN_estimated
Badakhshan,Nutrition,88403
Badakhshan,Protection,119195
Badakhshan,WASH,106084
Badakhshan,Shelter,95356
Badakhshan,Health,123765
Badghis,Nutrition,45990
Badghis,Protection,62009
Badghis,WASH,55188
Badghis,Shelter,49607
Badghis,Health,64386
Baghlan,Nutrition,84945
Baghlan,Protection,114532
Baghlan,WASH,101934
Baghlan,Shelter,91626
Baghlan,Health,118923
Balkh,Nutrition,126772
Balkh,Protection,170929
Balkh,WASH,152127
Balkh,Shelter,136743
Balkh,Health,177481
Bamyan,Nutrition,41694
Bamyan,Protection,56217
Bamyan,WASH,50033
Bamyan,Shelter,44974
Bamyan,Health,58372
Daykundi,Nutrition,43108
Daykundi,Protection,58123
Daykundi,WASH,51729
Daykundi,Shelter,46498
Daykundi,Health,60351
Farah,Nutrition,47040
Farah,Protection,63424
Farah,WASH,56447
Farah,Shelter,50739
Farah,Health,65855
Faryab,Nutrition,93024
Faryab,Protection,125425
Faryab,WASH,111628
Faryab,Shelter,100340
Faryab,Health,130233
Ghazni,Nutrition,114071
Ghazni,Protection,153803
Ghazni,WASH,136885
Ghazni,Shelter,123043
Ghazni,Health,159699
Ghor,Nutrition,63987
Ghor,Protection,86274
Ghor,WASH,76784
Ghor,Shelter,69020
Ghor,Health,89582
Hilmand,Nutrition,121562
Hilmand,Protection,163904
Hilmand,WASH,145875
Hilmand,Shelter,131123
Hilmand,Health,170187
Hirat,Nutrition,180751
Hirat,Protection,243710
Hirat,WASH,216902
Hirat,Shelter,194968
Hirat,Health,253052
Jawzjan,Nutrition,50642
Jawzjan,Protection,68282
Jawzjan,WASH,60771
Jawzjan,Shelter,54625
Jawzjan,Health,70899
Kabul,Nutrition,436903
Kabul,Protection,589082
Kabul,WASH,524283
Kabul,Shelter,471266
Kabul,Health,611664
Kandahar,Nutrition,117336
Kandahar,Protection,158206
Kandahar,WASH,140803
Kandahar,Shelter,126565
Kandahar,Health,164271
Kapisa,Nutrition,41184
Kapisa,Protection,55529
Kapisa,WASH,49421
Kapisa,Shelter,44423
Kapisa,Health,57658
Khost,Nutrition,53200
Khost,Protection,71731
Khost,WASH,63840
Khost,Shelter,57385
Khost,Health,74480
Kunar,Nutrition,41752
Kunar,Protection,56295
Kunar,WASH,50102
Kunar,Shelter,45036
Kunar,Health,58453
Kunduz,Nutrition,95647
Kunduz,Protection,128962
Kunduz,WASH,114777
Kunduz,Shelter,103170
Kunduz,Health,133906
Laghman,Nutrition,41221
Laghman,Protection,55579
Laghman,WASH,49465
Laghman,Shelter,44463
Laghman,Health,57710
Logar,Nutrition,36459
Logar,Protection,49158
Logar,WASH,43750
Logar,Shelter,39326
Logar,Health,51042
Maidan Wardak,Nutrition,55290
Maidan Wardak,Protection,74549
Maidan Wardak,WASH,66349
Maidan Wardak,Shelter,59639
Maidan Wardak,Health,77407
Nangarhar,Nutrition,142498
Nangarhar,Protection,192133
Nangarhar,WASH,170998
Nangarhar,Shelter,153706
Nangarhar,Health,199498
Nimroz,Nutrition,15381
Nimroz,Protection,20739
Nimroz,WASH,18457
Nimroz,Shelter,16591
Nimroz,Health,21534
Nuristan,Nutrition,13721
Nuristan,Protection,18500
Nuristan,WASH,16465
Nuristan,Shelter,14800
Nuristan,Health,19209
Paktika,Nutrition,64923
Paktika,Protection,87536
Paktika,WASH,77907
Paktika,Shelter,70029
Paktika,Health,90892
Paktya,Nutrition,51214
Paktya,Protection,69053
Paktya,WASH,61457
Paktya,Shelter,55243
Paktya,Health,71700
Panjsher,Nutrition,14211
Panjsher,Protection,19161
Panjsher,WASH,17053
Panjsher,Shelter,15329
Panjsher,Health,19895
Parwan,Nutrition,62194
Parwan,Protection,83857
Parwan,WASH,74633
Parwan,Shelter,67085
Parwan,Health,87071
Samangan,Nutrition,36011
Samangan,Protection,48555
Samangan,WASH,43214
Samangan,Shelter,38844
Samangan,Health,50416
Sar-e-Pul,Nutrition,51943
Sar-e-Pul,Protection,70036
Sar-e-Pul,WASH,62332
Sar-e-Pul,Shelter,56029
Sar-e-Pul,Health,72721
Takhar,Nutrition,91720
Takhar,Protection,123667
Takhar,WASH,110064
Takhar,Shelter,98934
Takhar,Health,128408
Uruzgan,Nutrition,36466
Uruzgan,Protection,49168
Uruzgan,WASH,43759
Uruzgan,Shelter,39334
Uruzgan,Health,51053
Zabul,Nutrition,32237
Zabul,Protection,43466
Zabul,WASH,38684
Zabul,Shelter,34772
Zabul,Health,45132
